Year,No.,Round,Pick,Player,Name,Team,College
NA,31,12,2,156,Dave Plump,49ers,Fresno State
NA,32,12,7,161,John Kuznieski,Eagles,Purdue
NA,33,12,10,164,Gene Jeter,Packers,Arkansas-Pine Bluff
NA,34,13,6,174,Biff Bracy,Redskins,Duke
NA,35,13,12,180,Steve Murphy,Cardinals,Northwestern
NA,36,13,13,181,Henry Pickett,Browns,Baylor
NA,37,13,14,182,Bruce Airheart,Colts,North Dakota State
NA,38,14,2,184,Frank Andruski,49ers,Utah
NA,39,14,7,189,Dave Estrada,Redskins,Arizona State
NA,40,14,10,192,John Putnam,Packers,Drake
NA,41,15,14,210,Roy Hilton,Colts,Jackson State
NA,42,16,10,220,Phil Vandersea,Packers,Massachusetts
NA,43,16,13,223,Mel Anthony,Browns,Michigan
NA,44,17,3,227,Whit Canale,Steelers,Tennessee
NA,45,17,11,235,Sonny Odom,Lions,Duke
NA,46,17,14,238,Rick Reichardt,Colts,Wisconsin
NA,47,18,8,246,Leo Lowery,Rams,Texas Tech
NA,48,18,14,252,Charley King,Colts,Purdue
NA,49,19,2,254,Dale Ford,49ers,Washington State
NA,50,19,5,257,Marv Rettenmund,Cowboys,Ball State
NA,51,19,8,260,Ellis Johnson,Vikings,Southeastern Louisiana
NA,52,19,12,264,Roy Shivers,Cardinals,Utah State
NA,53,20,3,269,Ralph Kurek,Bears,Wisconsin
NA,54,20,10,276,Jim Chandler,Packers,Benedictine
1964,1,1,3,3,Charley Taylor,Redskins,Arizona State
NA,2,1,12,12,Joe Don Looney,Giants,Oklahoma
NA,3,2,8,22,Tony Lorick,Colts,Arizona State
NA,4,2,9,23,Pat Crain,Bears,Clemson
NA,5,2,11,25,Steve Thurlow,Giants,Stanford
NA,6,3,14,42,Sid Blanks,Bears,Texas A&I
NA,7,4,7,49,Matt Snell,Giants,Ohio State
NA,8,4,14,56,Frank Budka,Bears,Notre Dame
NA,9,5,3,59,Jim Snowden,Redskins,Notre Dame
NA,10,8,5,103,Bill McWatters,Vikings,North Texas State
NA,11,8,12,110,Leroy Kelly,Browns,Morgan State
NA,12,9,6,118,Darrell Lester,Vikings,McNeese State
NA,13,9,14,126,Jay Wilkinson,Bears,Duke
NA,14,11,11,151,Eddie Versprille,Browns,Alabama
NA,15,12,14,168,Bob Horton,Bears,Boston University
NA,16,16,8,218,Roger Lopes,Colts,Michigan State
NA,17,16,9,219,Ed Kesler,Steelers,North Carolina
NA,18,16,14,224,Roderick Butler,Bears,Eastern Illinois
NA,19,18,2,240,Izzy Lang,Eagles,Tennessee State
NA,20,18,8,246,Alvin Haymond,Colts,Southern
NA,21,18,12,250,Sherman Lewis,Browns,Michigan State
NA,22,18,14,252,Bob Batts,Bears,Texas Southern
NA,23,20,8,274,John Butler,Colts,San Diego State
NA,24,20,14,280,Dick Niglio,Bears,Yale
1963,1,4,10,52,Charley Mitchell,Bears,Washington
NA,2,5,1,57,Joe Auer,Rams,Georgia Tech
NA,3,8,4,102,Tom Woodeschick,Eagles,West Virginia
NA,4,9,7,119,Billy Joe,Redskins,Villanova
NA,5,12,6,160,Bill Perkins,Cowboys,Iowa
1962,1,1,1,1,Ernie Davis,Redskins,Syracuse
NA,2,1,7,7,Ronnie Bull,Bears,Baylor
NA,3,1,14,14,Earl Gros,Packers,Louisiana State
NA,4,2,5,19,Bob Jackson,Cardinals,New Mexico State
NA,5,3,8,36,Billy Ray Adams,49ers,Mississippi
NA,6,3,10,38,Bobby Thompson,Lions,Arizona
NA,7,4,2,44,Art Perkins,Rams,North Texas State
NA,8,4,5,47,Roger Kochman,Cardinals,Penn State
NA,9,5,6,62,Ted Woods,49ers,Colorado
NA,10,5,7,63,Bill Tunnicliff,Bears,Michigan
NA,11,5,8,64,Mike Lind,49ers,Notre Dame
NA,12,5,11,67,Henry Rivera,Browns,Oregon State
NA,13,5,12,68,Ben Wilson,Rams,USC
NA,14,6,13,83,John McGeever,Eagles,Auburn
NA,15,7,1,85,Bert Coan,Redskins,Kansas
NA,16,7,5,89,Jack Collins,Steelers,Texas
NA,17,8,1,99,Ron Hatcher,Redskins,Michigan State
NA,18,8,3,101,Paul White,Vikings,Florida
NA,19,9,4,116,Roy Walker,Colts,Purdue
NA,20,9,7,119,Kelton Winston,Bears,Wiley
NA,21,11,7,147,Jerry Robinson,Bears,Grambling State
NA,22,12,1,155,Terry Terrebonne,Redskins,Tulane
NA,23,12,3,157,Gary Fallon,Vikings,Syracuse
NA,24,12,9,163,Bake Turner,Colts,Texas Tech
NA,25,12,12,166,Al Gursky,Giants,Penn State
NA,26,13,3,171,Bob Fearnside,Rams,Bowling Green
NA,27,13,9,177,Charles Holmes,Colts,Maryland-Eastern Shore
NA,28,14,1,183,Jim Costen,Redskins,South Carolina
NA,29,15,13,209,Joe Taylor,Giants,North Carolina A&T
NA,30,16,9,219,Ray Abruzzeze,Colts,Alabama
NA,31,16,12,222,Roger Johsnon,Giants,Oregon State
NA,32,17,6,230,Don Kasso,Cardinals,Oregon State
NA,33,17,7,231,Glenn Glass,Bears,Tennessee
NA,34,17,9,233,Bill Knocke,Colts,Fresno State
NA,35,18,12,250,Bill Winter,Giants,St. Olaf
1961,1,1,1,1,Tommy Mason,Vikings,Tulane
NA,2,1,1,1,Bob Gaiters,Broncos,New Mexico State
NA,3,1,7,7,Tom Matte,Colts,Ohio State
NA,4,1,14,14,Art Baker,Eagles,Syracuse
NA,5,3,7,35,Jerry Hill,Colts,Wyoming
NA,6,4,1,43,Chuck Lamson,Vikings,Wyoming
NA,7,4,9,51,Ron Hartline,Lions,Oklahoma
NA,8,5,1,57,Ed Sharockman,Vikings,Pittsburgh
NA,9,6,7,77,Don Kern,Colts,Virginia Military Inst
NA,10,7,7,91,Ike Grimsley,Colts,Michigan State
NA,11,8,8,106,Marshall Starks,Cardinals,Illinois
NA,12,8,12,110,Fred Cox,Browns,Pittsburgh
NA,13,9,8,120,Chick Granning,Cardinals,Georgia Tech
NA,14,9,10,122,Bob Brooks,Lions,Ohio
NA,15,9,14,126,Wayne Fontes,Eagles,Michigan State
NA,16,10,1,127,Doug Mayberry,Vikings,Utah State
NA,17,10,10,136,Paul Hynes,49ers,Louisiana Tech
NA,18,13,1,169,Ray Hayes,Vikings,Central State (OK)
NA,19,14,8,190,Bob Elliot,Cardinals,North Carolina
NA,20,14,9,191,Charley Bowers,Lions,Arizona State
NA,21,14,14,196,Willie Fleming,Eagles,Iowa
NA,22,16,1,211,Ted Karpowicz,Vikings,Detroit
NA,23,16,10,220,Charlie Fuller,49ers,Cal State-San Francisco
NA,24,18,10,248,Kay McFarland,49ers,Colorado State
NA,25,19,0,0,Joe Bellino,Patriots,Navy
NA,26,19,1,253,Bill Hill,Vikings,Presbyterian
1960,1,1,1,1,Billy Cannon,Rams,Louisiana State
NA,2,1,5,5,Tom Moore,Packers,Vanderbilt
NA,3,1,6,6,Jack Spikes,Steelers,Texas Christian
NA,4,2,7,19,Prentice Gault,Browns,Oklahoma
NA,5,3,6,30,Pervis Atkins,Rams,New Mexico State
NA,6,4,4,40,Ted Dean,Eagles,Wichita State
NA,7,4,11,47,Gerhard Schwedes,Colts,Syracuse
NA,8,5,5,53,Bob Jarus,Browns,Purdue
NA,9,5,7,55,Abner Haynes,Steelers,North Texas State
NA,10,7,7,79,Charley Bivins,Bears,Morris Brown
NA,11,7,8,80,Taz Anderson,Browns,Georgia Tech
NA,12,10,2,110,Curtis McClinton,Rams,Kansas
NA,13,11,1,121,Ken Young,Rams,Valparaiso
NA,14,11,9,129,Glenn Shaw,Bears,Kentucky
NA,15,13,6,150,Joe Womack,Steelers,Cal State-Los Angeles
NA,16,13,12,156,Jim Varnado,Giants,Southern
NA,17,14,12,168,Doug Cline,Giants,Clemson
NA,18,15,2,170,Frank Mestnik,Cardinals,Marquette
NA,19,15,9,177,Tom Watkins,Browns,Iowa State
NA,20,17,6,198,Dale Chamberlain,Steelers,Miami (OH)
1959,1,1,2,2,Dick Bass,Rams,Pacific
NA,2,1,7,7,Don Clark,Bears,Ohio State
NA,3,16,11,191,Jamie Caleb,Browns,Grambling State
NA,4,27,1,313,Timmy Brown,Packers,Ball State
1958,1,1,2,2,John David Crow,Cardinals,Texas A&M
NA,2,2,2,15,Jim Taylor,Packers,Louisiana State
NA,3,7,11,84,Bobby Mitchell,Browns,Illinois
1957,1,1,1,1,Paul Hornung,Packers,Notre Dame
NA,2,1,6,6,Jim Brown,Browns,Syracuse
NA,3,16,4,185,Joe Canavino,Colts,Ohio State
1956,1,1,3,3,Howard (Hopalong) Cassady,Lions,Ohio State
NA,2,1,9,9,Lenny Moore,Colts,Penn State
1955,1,1,3,3,Alan (The Horse) Ameche,Colts,Wisconsin
NA,2,1,11,11,Ron Drzewiecki,Bears,Marquette
1954,1,1,6,6,Stan Wallace,Bears,Illinois
NA,2,1,7,7,John Lattner,Steelers,Notre Dame
1953,1,1,2,2,Billy Vessels,Colts,Oklahoma
NA,2,1,6,6,Billy Anderson,Bears,Compton J.C.
NA,3,2,5,18,John Henry Johnson,Steelers,Arizona State
1952,1,1,3,3,Ollie Matson,Cardinals,San Francisco
NA,2,1,9,9,Hugh McElhenny,49ers,Washington
NA,3,1,11,11,Frank Gifford,Giants,USC
NA,4,7,6,79,Vic Janowicz,Redskins,Ohio State
1950,1,1,3,3,Chuck Hunsinger,Bears,Florida
1949,1,1,3,3,Doak Walker,Yanks,Southern Methodist
1947,1,1,2,2,Glenn Davis,Lions,Army
1945,1,1,7,7,Don Lund,Bears,Michigan
1944,1,1,5,5,Steve Van Buren,Eagles,Louisiana State
NA,2,1,9,9,Ray Evans,Bears,Kansas
1943,1,1,1,1,Frank Sinkwich,Lions,Georgia
NA,2,1,9,9,Bob Steuber,Bears,Missouri
1942,1,13,9,119,Bruce Smith,Packers,Minnesota
1941,1,9,7,77,Tony Canadeo,Packers,Gonzaga
1940,1,1,2,2,George McAfee,Eagles,Duke
1938,1,12,6,106,Clint Frank,Lions,Yale
1936,1,2,9,18,Tuffy Leemans,Giants,George Washington
